,USD_ROI,BAT_ROI,BTC_ROI,TRADE_ROI
2021-02-23,52.0215,94.43639999999999,78.23998399999999,74.75825599321031
2021-02-24,52.0215,102.98400000000001,79.580512,81.5247535399991
2021-02-25,52.0215,96.3026,75.293568,81.5247535399991
2021-02-26,52.0215,105.23960000000001,74.12191999999999,89.09035117066506
2021-02-27,52.0215,103.12639999999999,73.88919999999999,89.09035117066506
2021-02-28,52.0215,103.867,72.37079999999999,89.09035117066506
2021-03-01,110.2395,174.654,138.99032,141.02385117066507
2021-03-02,110.2395,180.6195,135.83248,141.02385117066507
2021-03-03,110.2395,230.16060000000002,141.008,141.02385117066507
2021-03-04,110.2395,208.122,135.43185599999998,141.02385117066507
2021-03-05,110.2395,204.5412,136.554516,141.02385117066507
2021-03-06,110.2395,199.7235,136.947552,137.70221910932528
2021-03-07,110.2395,208.2855,142.740108,137.70221910932528
2021-03-08,110.2395,221.6712,146.762644,146.55180582722787
2021-03-09,110.2395,223.68210000000002,153.765864,146.55180582722787
2021-03-10,110.2395,245.6499,156.493932,146.55180582722787
2021-03-11,110.2395,240.72869999999998,161.883316,146.55180582722787
2021-03-12,110.2395,226.7553,160.232548,146.55180582722787
2021-03-13,110.2395,244.5735,171.2998,146.55180582722787
2021-03-14,110.2395,231.1023,165.12356,146.55180582722787
2021-03-15,110.2395,228.3057,155.78122,146.55180582722787
2021-03-16,110.2395,308.72249999999997,159.395908,198.17218700407548
2021-03-17,110.2395,369.2889,164.991512,198.17218700407548
2021-03-18,110.2395,365.2188,161.40586,198.17218700407548
2021-03-19,110.2395,356.832,162.51104800000002,198.17218700407548
2021-03-20,110.2395,326.6241,162.72675999999998,181.3957611011284
2021-03-21,110.2395,334.78560000000004,160.617296,185.92837674163644
2021-03-22,110.2395,328.09049999999996,151.508196,185.92837674163644
2021-03-23,110.2395,318.2601,152.167512,180.357504330759
2021-03-24,110.2395,297.9384,146.37324800000002,168.84122850555067
2021-03-25,110.2395,292.43580000000003,143.710028,165.72291363249423
2021-03-26,110.2395,322.4058,154.202832,182.70686608142782
2021-03-27,110.2395,324.51750000000004,156.398284,182.70686608142782
2021-03-28,110.2395,335.3535,156.180696,188.80765140381675
2021-03-29,110.2395,341.799,161.317744,192.43653768985013
2021-03-30,110.2395,352.5222,164.602088,192.43653768985013
2021-03-31,110.2395,342.68940000000003,164.64,187.0689608739879
2021-04-01,226.5901,465.40239999999994,281.887104,306.8926988136634
2021-04-02,226.5901,483.574,283.10899200000006,318.8753000330864
2021-04-03,226.5901,452.2508,274.052832,318.8753000330864
2021-04-04,226.5901,474.79519999999997,279.43651200000005,334.7710205361035
2021-04-05,226.5901,514.2772,283.790496,334.7710205361035
2021-04-06,226.5901,534.7724000000001,278.49590400000005,334.7710205361035
2021-04-07,226.5901,475.16239999999993,268.5876,334.7710205361035
2021-04-08,226.5901,517.4792,278.79888,364.58490800241435
2021-04-09,226.5901,613.4395999999999,278.84486400000003,432.1928690680473
2021-04-10,226.5901,589.0292,286.93728000000004,432.1928690680473
2021-04-11,226.5901,577.8732,287.92924800000003,432.1928690680473
2021-04-12,226.5901,568.822,287.23113600000005,425.4234530499508
2021-04-13,226.5901,599.8724,305.22345600000006,448.64612795806295
2021-04-14,226.5901,586.5732,302.26464000000004,448.64612795806295
2021-04-15,226.5901,609.0455999999999,303.49939200000006,465.83435825212473
2021-04-16,226.5901,611.1411999999999,294.85089600000003,465.83435825212473
2021-04-17,226.5901,595.52,288.282528,465.83435825212473
2021-04-18,226.5901,538.6307999999999,270.11716800000005,421.33384781842517
2021-04-19,226.5901,529.8904,267.34478400000006,414.4968337385171
2021-04-20,226.5901,509.3808,271.196592,398.45358354707474
2021-04-21,226.5901,491.9768,258.24412800000005,384.8396307478069
2021-04-22,226.5901,440.98439999999994,248.167632,344.9517815912115
2021-04-23,226.5901,473.97479999999996,245.69889600000002,370.7579036567692
2021-04-24,226.5901,412.8196,240.42792000000003,370.7579036567692
2021-04-25,226.5901,408.72479999999996,235.78080000000003,367.0803179416197
2021-04-26,226.5901,478.34880000000004,259.45728,367.0803179416197
2021-04-27,226.5901,502.3948,264.334176,367.0803179416197
2021-04-28,226.5901,479.77559999999994,263.491344,367.0803179416197
2021-04-29,226.5901,475.53280000000007,257.184,363.8341162319815
2021-04-30,226.5901,505.268,277.434096,386.584766056728
2021-05-01,353.65290000000005,635.3140000000001,405.01496000000003,512.901766056728
2021-05-02,353.65290000000005,628.273,396.37640000000005,512.901766056728
2021-05-03,353.65290000000005,646.138,400.4891100000001,512.901766056728
2021-05-04,353.65290000000005,585.9265,372.69344000000007,465.1061176241568
2021-05-05,353.65290000000005,683.1129999999999,402.6098300000001,465.1061176241568
2021-05-06,353.65290000000005,700.2745,395.0846200000001,465.1061176241568
2021-05-07,353.65290000000005,703.982,401.66273000000007,465.1061176241568
2021-05-08,353.65290000000005,709.399,412.7063500000001,465.1061176241568
2021-05-09,353.65290000000005,707.1415,408.18799000000007,465.1061176241568
2021-05-10,353.65290000000005,657.671,391.0648700000001,465.1061176241568
2021-05-11,353.65290000000005,696.9005000000001,397.27233000000007,465.1061176241568
2021-05-12,353.65290000000005,589.1505,346.49139,393.19458337500225
2021-05-13,353.65290000000005,596.0935000000001,347.83077000000003,397.82828901112185
2021-05-14,353.65290000000005,609.475,349.2543600000001,406.7590008028161
2021-05-15,353.65290000000005,569.2305,327.42857000000004,406.7590008028161
2021-05-16,353.65290000000005,570.414,325.15553000000006,407.60470263616855
